Date,Job,Trucks,Description,ConcreteSupplier,ConcreteYds,StoneSupplier,StoneLds,JobTokens
2025-01-06,Tidal Basin,128,6:30 am start. Cont'd with wall cap and 3' sidewalk.  Cont'd prep of more Exposed Agg walks.,Chaney,4,,,"tidal,basin"
2025-09-08,128,128,,4,,,,128
2025-01-07,Tidal Basin,128,6:30 am start. Poured next exposed aggregate panels on Seawalls.  Prep wall cap and 3' sidewalk.,Chaney,8,,,"tidal,basin"
2025-09-09,128,128,,8,,,,128
2025-01-01,Tidal Basin,128,6:30 am start. Poured 3' cap stone 3' walks and prepped exposed aggregate panels for Thursday pour.,Chaney,6,,,"tidal,basin"
2025-09-10,128,128,,6,,,,128
2025-01-02,Tidal Basin,128,6:30 am start. Poured full load of Exposed Aggregate walks and cont'd 3' walk heading West.,Chaney,9,,,"tidal,basin"
2025-09-11,128,128,,9,,,,128
2025-01-03,Tidal Basin,128,6:30 am start. Poured full load of Exposed Aggregate walks and cont'd 3' walk heading West.,Chaney,6,,,"tidal,basin"
2025-09-12,128,128,,6,,,,128
2025-01-04,Tidal Basin,128,Water cure refills,,,,,"tidal,basin"
2025-09-13,128,128,,,,,,128
2025-01-06,Wardman,"125,126","125 Calvert St. site curbs and median pour.  125,123 courtyard walks and pool drains. B pavers ski slope.",Vulcan,13,Holcim,18,wardman
2025-09-08,"125,126","125,126",,13,,18,,"125,126"
2025-01-07,Wardman,"125,126","125 Calvert St. site curbs and median pour.  125,123 courtyard walks and pool drains. B pavers ski slope.",Vulcan,20,Holcim,9,wardman
2025-09-09,"125,126","125,126",,20,,9,,"125,126"
2025-01-01,Wardman,"125,126","125 Calvert St. site curbs and drain pour.  125,123 courtyard walks. B pavers ski slope and above door..",Vulcan,10,Holcim,9,wardman
2025-09-10,"125,126","125,126",,10,,9,,"125,126"
2025-01-02,Wardman,"125,126","125 Calvert St. site curbs and drain pour.  125,123 courtyard walks. B pavers ski slope and above door..",Vulcan,12,Holcim,9,wardman
2025-09-11,"125,126","125,126",,12,,9,,"125,126"
2025-01-03,Wardman,"125,126","125 Calvert St. site curbs and drain pour.  125,123 courtyard walks. B pavers ski slope and above door..",Vulcan,10,Holcim,5,wardman
2025-09-12,"125,126","125,126",,10,,5,,"125,126"
2025-01-04,Wardman,"125,126",125 Calvert St side curbs and 125 courtyard walks and saw cuts.,,,,,wardman
2025-09-13,"125,126","125,126",,,,,,"125,126"
2025-01-06,Founders 2,121,Returned to form extension wall in walk alley next to side buidling and started demo of ramp walks.,,,,,"founders,2"
2025-09-08,121,"Founders,2",,,,,,121
2025-01-07,Founders 2,121,Poured extension wall in walk alley buidling and continued demo of ramp walks for Wednesday.,Vulcan,3,,,"founders,2"
2025-09-09,121,"Founders,2",,3,,,,121
2025-01-01,Founders 2,121,West Broad Street temporary ramps demo and replaced with previous curb and walks.,Vulcan,8,,,"founders,2"
2025-09-10,121,"Founders,2",,8,,,,121
2025-01-02,Founders 2,"121,102",Stripped and rubbed wall and demobilized all material and equipment.,,,,,"founders,2"
2025-09-11,"121,102","121,102",,,,,,"121,102"
2025-01-03,Canvas,D1,Completed Canvas Clean-up and Work on Yard wifi and weed cleaning.,,,,,canvas
2025-09-12,D1,1,,,,,,d1
2025-01-06,GU Henle,119,Started Torndof Lane student lane CO pavers install upper side first and changed elevations.,,,,,"gu,henle"
2025-09-08,119,119,,,,,,119
2025-01-07,GU Henle,119,Cont'd Torndof Lane student lane CO pavers install upper side first and changed elevations.,,,,,"gu,henle"
2025-09-09,119,119,,,,,,119
2025-01-01,GU Henle,119,Cont'd Torndof Lane student lane CO pavers install upper side first and changed elevations.,,,Hanover,,"gu,henle"
2025-09-10,119,119,,,,Final delivery,,119
2025-01-02,GU Henle,119,Cont'd Torndof Lane student lane CO pavers install heading down middle of road on poured base.,,,,,"gu,henle"
2025-09-11,119,119,,,,,,119
2025-01-03,GU Henle,119,Cont'd Torndof Lane student lane CO pavers install heading down middle of road on poured base.,,,,,"gu,henle"
2025-09-12,119,119,,,,,,119
2025-01-01,Hyattsville Canvas,116,"Returned for CO to saw cut down check dam walls rear bio box 9"" each for revised calculation for bond.",,,,,"hyattsville,canvas"
2025-09-10,116,"2011,Crystal",,,,,,116
2025-01-02,2011 Crystal,121,Mobilized and started North side building tree removal and dirt for waterproofing to form paverbase.,,,Orlando Trucks,2 Haul-offs,"2011,crystal"
2025-09-11,121,"2011,Crystal",,,,2 Haul-offs,,121
2025-01-03,2011 Crystal,121,Poured North side building tree removal and dirt for waterproofing to form paverbase.,Vulcan,5,,,"2011,crystal"
2025-09-12,121,121,,5,,,,121
2025-01-01,Moorefield,"124,22",Mobilize and begin form of sidewalk at front of building,,,Chantilly Pitrun,1,moorefield
2025-09-10,"124,22","124,22",,,,1,,"124,22"
2025-01-02,BridgeDist,118,Parge over cracks at sidewalk and repairs to permeable pavers at tree pits,,,,,bridgedist
2025-09-11,118,118,,,,,,118
2025-01-03,HU Plant,,Concrete For Sorensen,Vulcan,3,,,"hu,plant"
2025-01-06,ARA3A,"124,122",Cont with curb at north side of site to tie-in with original bldg,Vulcan,15,Chantilly 21a,1,ara3a
2025-09-08,"124,122",ARA3A,,15,,1,,"124,122"
2025-01-07,ARA3A,"124,122",Complete curb at north side road leading to original building. Begin prep of HD either side of road pipe trench,Vulcan,22,,,ara3a
2025-09-09,"124,122",ARA3A,,22,,,,"124,122"
2025-01-01,ARA3A,"124,122",Pour of west end HD paving at EYD rd at each side of trench box.  Prep sidewalk,Vulcan,9,,,ara3a
2025-09-10,"124,122","124,122",,9,,,,"124,122"
2025-01-02,Moorefield,"124,122",Pour of sidewalk at main entrance side of front and prep far side. Sawcut jts at ARA,Vulcan,10,,,moorefield
2025-09-11,"124,122","124,122",,10,,,,"124,122"
2025-01-03,Moorefield,"124,122",Complete sidewalk at front entrance loop.  Form & pour walks at SE corner. Excavate & prep sign footer,Vulcan,8,,,moorefield
2025-09-12,"124,122","124,122",,8,,,,"124,122"
2025-01-06,HanoverSpring,117,Begin excavation and rebar for feature wall footers at pool ctyd,,,,,hanoverspring
2025-09-08,117,117,,,,,,117
2025-01-07,HanoverSpring,117,"Pour first to feature wall footers with embeds. Ecavcate & prep last, and Fire pit & gas grill footers",Vulcan,10,,,hanoverspring
2025-09-09,117,117,,10,,,,117
2025-01-01,HanoverSpring,117,Pour 3rd footer for feature wall and gas and fire pit bases.  Begin footer excations at amenities ctyd,Vulcan,9,,,hanoverspring
2025-09-10,117,117,,9,,,,117
2025-01-02,HanoverSpring,117,Complete footers at ammeneties ctyd and begin backfill and grade adjacent canopy bases,Vulcan,13,,,hanoverspring
2025-09-11,117,117,,13,,,,117
2025-01-03,HanoverSpring,117,Front footer and bases at ammentiese ctyd,Vulcan,4,,,hanoverspring
2025-09-12,117,117,,4,,,,117
2025-01-06,Rowan,"120,118",Cont with curb at periemter of Bldg B,Schuster,23,,,rowan
2025-09-08,"120,118","120,118",,23,,,,"120,118"
2025-01-07,Rowan,"120,118",Cont with curb at perimeter of Bldg B,Schuster,27,,,rowan
2025-09-09,"120,118","120,118",,27,,,,"120,118"
2025-01-01,Rowan,"120,118",Complete curb at perimeter of B and clean up AMA forms,Schuster,27,,,rowan
2025-09-10,"120,118","120,118",,27,,,,"120,118"
2025-01-02,Kingstowne,"120,D2",Excavate and install trench drain at police exit. Prep sidewlak to corner and chipping of damaged conc,,,,,kingstowne
2025-09-11,"120,D2",2,,,,,,"120,d2"
2025-01-03,Kingstowne,"120,118",Pour sidewalk along drain and tie in to corner. Cont with CO demo at garage and curb r&r,Vulcan,7,,,kingstowne
2025-09-12,"120,118","120,118",,7,,,,"120,118"
2025-01-06,Rowan,,Cont with curb at B and form HD exterior pad at corner,,,,,rowan
2025-09-08,JMV,,,,,,,jmv
2025-01-07,Rowan,,Pour HD pad at corner & cont curb,,,,,rowan
2025-09-09,JMV,,,,,,,jmv
2025-01-01,Rowan,,Curb & pads at bldg b,,,,,rowan
2025-09-10,JMV,,,,,,,jmv
2025-01-02,Rowan,,Cont walks at B and HD pad,,,,,rowan
2025-09-11,JMV,,,,,,,jmv
2025-01-03,Rowan,,Cont wit walk and return to bldg c for curb,,,,,rowan
2025-09-12,JMV,,,,,,,jmv
